fixture_id,world_cup_year,date,round,team_id,team_name,is_home,opponent_id,opponent_name,goals_scored,goals_conceded,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
135816,2018,2018-06-26T18:00:00+00:00,Group Stage - 3,18,Iceland,True,3,Croatia,1,2,6,8,16,2,12,4,10,10,1,38.0,3,0,0,314,226,72.0
135816,2018,2018-06-26T18:00:00+00:00,Group Stage - 3,3,Croatia,False,18,Iceland,2,1,2,8,14,4,4,10,11,5,2,62.0,2,0,5,518,447,86.0
135817,2018,2018-06-27T14:00:00+00:00,Group Stage - 3,17,South Korea,True,25,Germany,2,0,5,5,12,2,4,8,16,3,0,26.0,4,0,6,248,174,70.0
135817,2018,2018-06-27T14:00:00+00:00,Group Stage - 3,25,Germany,False,17,South Korea,0,2,6,13,28,9,20,8,7,9,1,74.0,0,0,3,698,625,90.0
135818,2018,2018-06-27T14:00:00+00:00,Group Stage - 3,16,Mexico,True,5,Sweden,0,3,3,8,20,9,10,10,14,7,2,66.0,3,0,3,472,389,82.0
135818,2018,2018-06-27T14:00:00+00:00,Group Stage - 3,5,Sweden,False,16,Mexico,3,0,5,9,15,1,13,3,11,3,0,34.0,2,0,3,241,147,61.0
135819,2018,2018-06-27T18:00:00+00:00,Group Stage - 3,14,Serbia,True,6,Brazil,0,2,2,5,10,3,6,4,13,5,2,42.0,3,0,4,442,351,79.0
135819,2018,2018-06-27T18:00:00+00:00,Group Stage - 3,6,Brazil,False,14,Serbia,2,0,6,3,14,5,10,4,7,9,4,58.0,0,0,1,632,543,86.0
135820,2018,2018-06-27T18:00:00+00:00,Group Stage - 3,15,Switzerland,True,29,Costa Rica,2,2,3,6,13,4,8,5,9,6,1,62.0,3,0,5,565,489,87.0
135820,2018,2018-06-27T18:00:00+00:00,Group Stage - 3,29,Costa Rica,False,15,Switzerland,2,2,6,6,14,2,9,6,14,5,1,38.0,3,0,1,341,268,79.0
135821,2018,2018-06-28T14:00:00+00:00,Group Stage - 3,12,Japan,True,24,Poland,0,1,3,4,10,3,7,3,11,5,1,54.0,1,0,2,541,470,87.0
135821,2018,2018-06-28T14:00:00+00:00,Group Stage - 3,24,Poland,False,12,Japan,1,0,2,5,11,4,7,4,8,7,0,46.0,0,0,3,457,382,84.0
135822,2018,2018-06-28T14:00:00+00:00,Group Stage - 3,13,Senegal,True,8,Colombia,0,1,3,4,7,0,4,3,15,1,3,40.0,1,0,1,303,223,74.0
135822,2018,2018-06-28T14:00:00+00:00,Group Stage - 3,8,Colombia,False,13,Senegal,1,0,2,1,4,1,3,1,15,3,3,60.0,1,0,4,432,352,81.0
135823,2018,2018-06-28T18:00:00+00:00,Group Stage - 3,10,England,True,1,Belgium,0,1,2,6,11,3,6,5,11,7,3,46.0,0,0,2,467,410,88.0
135823,2018,2018-06-28T18:00:00+00:00,Group Stage - 3,1,Belgium,False,10,England,1,0,4,3,14,7,9,5,14,2,1,54.0,2,0,1,547,477,87.0
135824,2018,2018-06-28T18:00:00+00:00,Group Stage - 3,11,Panama,True,28,Tunisia,1,2,4,4,9,1,6,4,18,0,4,30.0,3,0,4,277,206,74.0
